symbol,company_name,sector
ABL,Allied Bank Limited,Commercial Banks
ABOT,Abbott Laboratories (Pakistan) Limited,Pharmaceuticals
ACPL,Attock Cement (Pakistan) Limited,Cement
AGHA,Agha Steel Industries Limited,Engineering
AGP,AGP Limited,Pharmaceuticals
AGTL,Al-Ghazi Tractors Limited,Automobile
AICL,Adamjee Insurance Company Limited,Insurance
AIRLINK,Air Link Communication Limited,Technology and Communication
AKBL,Askari Bank Limited,Commercial Banks
ANL,Azgard Nine Limited,Textile
APL,Attock Petroleum Limited,Oil and Gas Marketing
ASL,Aisha Steel Mills Limited,Engineering
ASTL,Amreli Steels Limited,Engineering
ATLH,Atlas Honda Limited,Automobile
ATRL,Attock Refinery Limited,Refinery
AVN,Avanceon Limited,Technology and Communication
BAFL,Bank Alfalah Limited,Commercial Banks
BAHL,Bank Al Habib Limited,Commercial Banks
BIPL,BankIslami Pakistan Limited,Commercial Banks
BOP,The Bank of Punjab,Commercial Banks
CHCC,Cherat Cement Company Limited,Cement
COLG,Colgate-Palmolive (Pakistan) Limited,Food and Personal Care
CPHL,Citi Pharma Limited,Pharmaceuticals
DAWH,Dawood Hercules Corporation Limited,Investment Companies
DGKC,D.G. Khan Cement Company Limited,Cement
DOL,Descon Oxychem Limited,Chemical
EFERT,Engro Fertilizers Limited,Fertilizer
EFUG,EFU General Insurance Limited,Insurance
EPCL,Engro Polymer & Chemicals Limited,Chemical
EPQL,Engro Powergen Qadirpur Limited,Power Generation and Distribution
FABL,Faysal Bank Limited,Commercial Banks
FATIMA,Fatima Fertilizer Company Limited,Fertilizer
FCCL,Fauji Cement Company Limited,Cement
FEROZ,Ferozsons Laboratories Limited,Pharmaceuticals
FFC,Fauji Fertilizer Company Limited,Fertilizer
GATM,Gul Ahmed Textile Mills Limited,Textile
GHNI,Ghandhara Industries Limited,Automobile
GHNL,Ghandhara Nissan Limited,Automobile
GLAXO,GlaxoSmithKline Pakistan Limited,Pharmaceuticals
HASCOL,Hascol Petroleum Limited,Oil and Gas Marketing
HBL,Habib Bank Limited,Commercial Banks
HCAR,Honda Atlas Cars (Pakistan) Limited,Automobile
HINOON,Highnoon Laboratories Limited,Pharmaceuticals
HUBC,Hub Power Company Limited,Power Generation and Distribution
IBFL,Ibrahim Fibre Limited,Textile
ICI,ICI Pakistan Limited,Chemical
IGIHL,IGI Holdings Limited,Insurance
ILP,Interloop Limited,Textile
INDU,Indus Motor Company Limited,Automobile
INIL,International Industries Limited,Engineering
ISL,International Steels Limited,Engineering
JLICL,Jubilee Life Insurance Company Limited,Insurance
JSBL,JS Bank Limited,Commercial Banks
KAPCO,Kot Addu Power Company Limited,Power Generation and Distribution
KOHC,Kohat Cement Limited,Cement
KOHE,Kohinoor Energy Limited,Power Generation and Distribution
KTML,Kohinoor Textile Mills Limited,Textile
LOTCHEM,Lotte Chemical Pakistan Limited,Chemical
LUCK,Lucky Cement Limited,Cement
MARI,Mari Petroleum Company Limited,Oil and Gas Exploration
MCB,MCB Bank Limited,Commercial Banks
MEBL,Meezan Bank Limited,Commercial Banks
MLCF,Maple Leaf Cement Factory Limited,Cement
MTL,Millat Tractors Limited,Automobile
MUGHAL,Mughal Iron & Steel Industries Limited,Engineering
NATF,National Foods Limited,Food and Personal Care
NBP,National Bank of Pakistan,Commercial Banks
NCL,Nishat Chunian Limited,Textile
NCPL,Nishat Chunian Power Limited,Power Generation and Distribution
NESTLE,Nestle Pakistan Limited,Food and Personal Care
NETSOL,NetSol Technologies Limited,Technology and Communication
NML,Nishat Mills Limited,Textile
NPL,Nishat Power Limited,Power Generation and Distribution
NRL,National Refinery Limited,Refinery
OCTOPUS,Octopus Digital Limited,Technology and Communication
OGDC,Oil & Gas Development Company Limited,Oil and Gas Exploration
PABC,Pakistan Aluminium Beverage Cans Limited,Engineering
PAKT,Pakistan Tobacco Company Limited,Tobacco
PIOC,Pioneer Cement Limited,Cement
POL,Pakistan Oilfields Limited,Oil and Gas Exploration
POWER,Power Cement Limited,Cement
PPL,Pakistan Petroleum Limited,Oil and Gas Exploration
PREMA,At-Tahur Limited,Food and Personal Care
PRL,Pakistan Refinery Limited,Refinery
PSMC,Pak Suzuki Motor Company Limited,Automobile
PSO,Pakistan State Oil Company Limited,Oil and Gas Marketing
PTC,Pakistan Telecommunication Company Limited,Technology and Communication
SAZEW,Sazgar Engineering Works Limited,Automobile
SEARL,The Searle Company Limited,Pharmaceuticals
SHEL,Shell Pakistan Limited,Oil and Gas Marketing
SNBL,Soneri Bank Limited,Commercial Banks
SYS,Systems Limited,Technology and Communication
TELE,Telecard Limited,Technology and Communication
THALL,Thal Limited,Automobile
THCCL,Thatta Cement Company Limited,Cement
TRG,TRG Pakistan Limited,Technology and Communication
UBL,United Bank Limited,Commercial Banks
UNITY,Unity Foods Limited,Food and Personal Care
UPFL,Unilever Pakistan Foods Limited,Food and Personal Care
